Candidate_SLEOP_ID,Candidate_SLEOP_UUID,CandidateFullname,CandidateFirstName,CandidateOtherNames,CandidateSurname,CandidatePoliticalPartyID,CandidatePoliticalParty,CandidatePoliticalPartyLongName,CandidatePoliticalPartyColor,CandidatePoliticalPartyLogo,SLEOP_ID,SLOEDP_UUID,ElectionDate,ElectionType,ResultType,ElectionRegion,ElectionDistrict,ElectionConstituency,ElectionWard,ElectionPollingCentre,ValidVotes,ValidVotesPercent,ElectionRound,ResultStatus,Winner
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,1630,0d7c0dcc-511c-4697-b684-5d563b4ccd0e,2018,Presidential,"Regional Results",Eastern,,,,,"336,659",66.20,"Round 1","Certified Results",Yes
33,8db3e207-7f16-4c2e-a783-94b8136fead7,"Samura Mathew Wilson Kamara",Samura,"Mathew Wilson",Kamara,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,2329,c58db438-fc15-4088-9d25-7fd182f7829f,2018,Presidential,"District Results",,"Western Urban",,,,"315,764",60.98,"Round 2","Certified Results",Yes
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,9145,be1d0294-4401-491a-9f9b-a4bbea8f2e35,2012,Presidential,"District Results",,"Western Urban",,,,"315,071",71.42,"Round 1","Certified Results",Yes
33,8db3e207-7f16-4c2e-a783-94b8136fead7,"Samura Mathew Wilson Kamara",Samura,"Mathew Wilson",Kamara,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,1671,b04d8b1e-18f8-4314-8285-1accfcfaf4c5,2018,Presidential,"Regional Results",Northern,,,,,"309,429",74.14,"Round 1","Certified Results",Yes
49,91b27537-979d-426c-ba8a-c3abc330b9f4,"John Karefa-Smart",John,,Karefa-Smart,32,UNPP,"United National People's Party",cccc00,/sites/default/files/party-logos/unpp-party.jpg,895,03f4d5a4-5781-4832-9dc7-0f4662822256,1996,Presidential,"Regional Results",Northern,,,,,"301,114",78.32,"Round 2","Certified Results",Yes
354,c0b6ee2f-4a60-48d0-b5d6-eeab6615a96c,"Solomon Ekuma Dominic Berewa",Solomon,"Ekuma Dominic",Berewa,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,9310,58c88824-bcfc-4a8c-b52a-be7ccea0a7ed,2007,Presidential,"Regional Results",Eastern,,,,,"296,783",65.51,"Round 1","Certified Results",Yes
33,8db3e207-7f16-4c2e-a783-94b8136fead7,"Samura Mathew Wilson Kamara",Samura,"Mathew Wilson",Kamara,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,753,4bd5a0eb-e7cd-4e6a-a9b7-bbe3c1e1a80d,2018,Presidential,"Regional Results","North West",,,,,"296,664",81.71,"Round 2","Certified Results",Yes
33,8db3e207-7f16-4c2e-a783-94b8136fead7,"Samura Mathew Wilson Kamara",Samura,"Mathew Wilson",Kamara,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,1772,70a01cf6-cf19-4154-ab1d-c311eb99c31e,2018,Presidential,"District Results",,"Western Urban",,,,"294,888",57.77,"Round 1","Certified Results",Yes
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,758,4b5d60ec-5a64-41d1-ab94-224af14266b9,2018,Presidential,"Regional Results",Western,,,,,"292,216",39.52,"Round 2","Certified Results",No
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,9133,45183612-b52f-4361-add6-2cdff315d126,2012,Presidential,"Regional Results",Eastern,,,,,"291,740",66.04,"Round 1","Certified Results",Yes
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,9478,231ca353-623e-432b-97d8-7cbf9125aa08,2002,Presidential,"Regional Results",Northern,,,,,"289,086",52.76,"Round 1","Certified Results",Yes
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,9319,95ca696c-97f2-483e-8ef0-a5acc73969b7,2007,Presidential,"Regional Results",Western,,,,,"273,172",61.29,"Round 1","Certified Results",Yes
45,351d7c21-45eb-4f71-8658-c463673b75c4,"Ahmad Tejan Kabbah",Ahmad,Tejan,Kabbah,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,46,6757519a-6f7c-4f28-a9b7-273688d9bcb5,1996,Presidential,"National Results",,,,,,"267,279",36.00,"Round 1","Certified Results",Yes
45,351d7c21-45eb-4f71-8658-c463673b75c4,"Ahmad Tejan Kabbah",Ahmad,Tejan,Kabbah,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,9576,c4fd6ca5-53cb-4daf-a3b8-da09c0bca8d5,2002,Presidential,"District Results",,Kenema,,,,"259,942",94.84,"Round 1","Certified Results",Yes
85,54b03b01-ae07-4638-aba4-6044068d2d15,"Charles Francis Kondo Margai",Charles,"Francis Kondo",Margai,26,PMDC,"Peoples Movement for Democratic Change",f3881e,/sites/default/files/party-logos/pmdc-party.jpg,366,59ad4d56-2040-43cf-8bb5-579253e91ce9,2007,Presidential,"National Results",,,,,,"255,499",13.89,"Round 1","Provisional Results",No
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,1751,89d50d3d-29e5-4665-9134-f2ea4ffcbf3b,2018,Presidential,"Regional Results",Western,,,,,"245,728",33.56,"Round 1","Certified Results",No
45,351d7c21-45eb-4f71-8658-c463673b75c4,"Ahmad Tejan Kabbah",Ahmad,Tejan,Kabbah,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,9619,1a4bb097-f366-497a-84a4-b857a7d472e9,2002,Presidential,"District Results",,Bo,,,,"241,140",94.96,"Round 1","Certified Results",Yes
45,351d7c21-45eb-4f71-8658-c463673b75c4,"Ahmad Tejan Kabbah",Ahmad,Tejan,Kabbah,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,892,d741508e-ef90-4808-84ef-6f37d79b7bd0,1996,Presidential,"Regional Results",Eastern,,,,,"232,084",89.58,"Round 2","Certified Results",Yes
33,8db3e207-7f16-4c2e-a783-94b8136fead7,"Samura Mathew Wilson Kamara",Samura,"Mathew Wilson",Kamara,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,1652,53995345-110e-470d-addd-2e98ebc578e5,2018,Presidential,"Regional Results","North West",,,,,"230,958",63.95,"Round 1","Certified Results",Yes
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,9369,e4a3ec8a-2320-44eb-868a-09afcb870abf,2007,Presidential,"District Results",,"Western Urban",,,,"222,260",60.54,"Round 1","Certified Results",Yes
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,2331,3239cf9e-5822-4e58-b1d5-eccb9c1068bb,2018,Presidential,"District Results",,Bo,,,,"219,131",89.34,"Round 2","Certified Results",Yes
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,2333,ae236070-0c83-4e1d-96e4-11e0b5f3047b,2018,Presidential,"District Results",,Kenema,,,,"211,232",88.55,"Round 2","Certified Results",Yes
45,351d7c21-45eb-4f71-8658-c463673b75c4,"Ahmad Tejan Kabbah",Ahmad,Tejan,Kabbah,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,887,c297bc03-9863-4d88-8373-4d20561755b1,1996,Presidential,"Regional Results",Southern,,,,,"202,945",91.60,"Round 2","Certified Results",Yes
